Library name,Version,License name
"borkdude/dynaload","0.3.5","Eclipse Public License 1.0"
"borkdude/edamame","1.0.0","Eclipse Public License 1.0"
"camel-snake-kebab","0.4.3","Eclipse Public License 1.0"
"clj-time","0.15.2","MIT License"
"fipp","0.6.26","Eclipse Public License"
"instaparse","1.4.12","Eclipse Public License"
"joda-time","2.10","Apache 2"
"metosin/malli","0.9.2","Eclipse Public License 2.0"
"mvxcvi/arrangement","2.0.0","Public Domain"
"org.clojure/clojure","1.12.0-alpha1","Eclipse Public License 1.0"
"org.clojure/core.rrb-vector","0.1.2","Eclipse Public License 1.0"
"org.clojure/core.specs.alpha","0.2.62","Eclipse Public License 1.0"
"org.clojure/data.csv","1.0.1","Eclipse Public License 1.0"
"org.clojure/spec.alpha","0.3.218","Eclipse Public License 1.0"
"org.clojure/test.check","1.1.1","Eclipse Public License 1.0"
"org.clojure/tools.reader","1.3.4","Eclipse Public License 1.0"
